Post,Date,Views,Replies,Upvotes,Link,Resolved
CME 121 8851 KEM not working,04-05-2018,167,7,0,https://supportforums.cisco.com//t5/ip-telephony/cme-12-1-8851-kem-not-working/td-p/3361487,0
SIP phones DN and Pool concepts,05-23-2018,79,2,10,https://supportforums.cisco.com//t5/ip-telephony/sip-phones-dn-and-pool-concepts/td-p/3387585,0
CP 8851  Set password,04-26-2018,289,9,20,https://supportforums.cisco.com//t5/ip-telephony/cp-8851-set-password/td-p/3373777,1
DTMF Issues with SIP Phones on CME,05-22-2018,60,1,0,https://supportforums.cisco.com//t5/ip-telephony/dtmf-issues-with-sip-phones-on-cme/td-p/3387464,0
Callforward all to SIP CME 15 Issue,05-22-2018,73,3,0,https://supportforums.cisco.com//t5/ip-telephony/call-forward-all-to-sip-cme-15-issue/td-p/3387076,0
Struggling with LANside inbound dial pe,05-21-2018,242,23,5,https://supportforums.cisco.com//t5/ip-telephony/struggling-with-lanside-inbound-dial-peer-number-manipulation/td-p/3386402,1
Outbound call failed through FXO,05-21-2018,97,4,0,https://supportforums.cisco.com//t5/ip-telephony/outbound-call-failed-through-fxo/td-p/3386666,0
3rd Party SIP device on CUCM,05-23-2018,151,0,0,https://supportforums.cisco.com//t5/ip-telephony/3rd-party-sip-device-on-cucm/td-p/3387523,0
Firmware not using default in the CUCM,05-20-2018,250,8,0,https://supportforums.cisco.com//t5/ip-telephony/firmware-not-using-default-in-the-cucm/td-p/3386221,1
voiceclass sip passthru content sdp a,01-28-2018,548,12,0,https://supportforums.cisco.com//t5/ip-telephony/voice-class-sip-pass-thru-content-sdp-and-codec-transparent/td-p/3320432,0
Does CP 8861 support multicast on codec,05-22-2018,84,5,10,https://supportforums.cisco.com//t5/ip-telephony/does-cp-8861-support-multicast-on-codec-g-722/td-p/3387068,0
Is it possible to record a call to a CI,07-08-2010,14319,4,0,https://supportforums.cisco.com//t5/ip-telephony/is-it-possible-to-record-a-call-to-a-cisci-ip-phone-7940-series/td-p/1486331,1
Hunt Pilot works internally does not w,05-17-2018,176,9,0,https://supportforums.cisco.com//t5/ip-telephony/hunt-pilot-works-internally-does-not-work-for-outside-callers/td-p/3385211,0
Oneway problem with Station Conference,05-18-2018,170,5,0,https://supportforums.cisco.com//t5/ip-telephony/one-way-problem-with-station-conference-8831/td-p/3385657,0
Hunt Group Queue Logout question,05-22-2018,121,1,0,https://supportforums.cisco.com//t5/ip-telephony/hunt-group-queue-logout-question/td-p/3387216,1
How can i know how many phone license i,07-18-2013,405,9,5,https://supportforums.cisco.com//t5/ip-telephony/how-can-i-know-how-many-phone-license-i-have/td-p/2252544,1
SIP SRST,05-22-2018,138,5,10,https://supportforums.cisco.com//t5/ip-telephony/sip-srst/td-p/3387204,1
CISCO DX 650UNABLE TO GET PLAY STORE,06-13-2014,1469,9,9,https://supportforums.cisco.com//t5/ip-telephony/cisco-dx-650-unable-to-get-play-store/td-p/2494706,1
How to enable MTP Software CUCM and Rou,05-22-2018,109,5,0,https://supportforums.cisco.com//t5/ip-telephony/how-to-enable-mtp-software-cucm-and-router-ios-software/td-p/3387162,0
Extend and Connect Intermittently Stops,05-22-2018,51,1,0,https://supportforums.cisco.com//t5/ip-telephony/extend-and-connect-intermittently-stops-working/td-p/3387123,0
Called DN D in RTMT RealTime Data,04-27-2018,191,3,0,https://supportforums.cisco.com//t5/ip-telephony/called-dn-quot-d-quot-in-rtmt-real-time-data/td-p/3374743,1
How to setup DN to autoanswer incoming,05-14-2018,201,5,5,https://supportforums.cisco.com//t5/ip-telephony/how-to-setup-dn-to-auto-answer-incoming-calls-and-then-play-a/td-p/3383120,1
Downgrade CP 8861 SIP firmware,05-22-2018,118,2,0,https://supportforums.cisco.com//t5/ip-telephony/downgrade-cp-8861-sip-firmware/td-p/3386875,1
conference issue,05-22-2018,129,5,0,https://supportforums.cisco.com//t5/ip-telephony/conference-issue/td-p/3386872,1
SNMP miboid for PRI utilization in cal,02-13-2008,1501,5,0,https://supportforums.cisco.com//t5/ip-telephony/snmp-mib-oid-for-pri-utilization-in-callmanager/td-p/840606,0
Multicast Configuration For PA,05-22-2018,60,5,0,https://supportforums.cisco.com//t5/ip-telephony/multicast-configuration-for-pa/td-p/3386951,0
MGCP not registering while replacing 28,05-21-2018,245,12,5,https://supportforums.cisco.com//t5/ip-telephony/mgcp-not-registering-while-replacing-2800-vgw-with-4300-vgw/td-p/3386328,1
7940G SIP to send keepaliveSIP Options,05-21-2018,76,1,0,https://supportforums.cisco.com//t5/ip-telephony/7940g-sip-to-send-keepalive-sip-options/td-p/3386697,0
8845 cant pickup calls,05-21-2018,134,3,0,https://supportforums.cisco.com//t5/ip-telephony/8845-can-t-pickup-calls/td-p/3386270,1
7960 Cannot Receive Calls,04-08-2017,253,6,0,https://supportforums.cisco.com//t5/ip-telephony/7960-cannot-receive-calls/td-p/3008656,0
Caller Id Issue over CME,04-22-2018,290,13,5,https://supportforums.cisco.com//t5/ip-telephony/caller-id-issue-over-cme/td-p/3370533,1
Disable Speakerphone disables Softkeys,03-07-2008,1387,11,15,https://supportforums.cisco.com//t5/ip-telephony/disable-speakerphone-disables-softkeys/td-p/1010124,0
Caller id issue,05-21-2018,594,2,0,https://supportforums.cisco.com//t5/ip-telephony/caller-id-issue/td-p/3386489,1
trying to setup call foward to handphon,05-20-2018,104,3,0,https://supportforums.cisco.com//t5/ip-telephony/trying-to-setup-call-foward-to-handphone-from-cucm/td-p/3386223,0
Show incoming callers name from persona,05-24-2012,1410,6,0,https://supportforums.cisco.com//t5/ip-telephony/show-incoming-callers-name-from-personal-directory/td-p/1945067,0
CuCM 115 licensing issue,05-21-2018,329,3,0,https://supportforums.cisco.com//t5/ip-telephony/cucm-11-5-licensing-issue/td-p/3386504,1
Good free TFTP  SFTP to backup cucm,05-21-2018,126,3,0,https://supportforums.cisco.com//t5/ip-telephony/good-free-tftp-sftp-to-backup-cucm/td-p/3386284,1
How to get ALL CDR from CUCM,05-21-2018,154,4,5,https://supportforums.cisco.com//t5/ip-telephony/how-to-get-all-quot-cdr-quot-from-cucm/td-p/3386467,1
VG248 Calling Party Control,12-10-2012,424,3,0,https://supportforums.cisco.com//t5/ip-telephony/vg248-calling-party-control/td-p/2135594,0
incoming callers name from personal dir,05-20-2018,99,1,0,https://supportforums.cisco.com//t5/ip-telephony/incoming-callers-name-from-personal-directory-in-cucm-12-x/td-p/3386236,1
Voip RTP port leakage on ISR Version 15,05-21-2018,117,2,0,https://supportforums.cisco.com//t5/ip-telephony/voip-rtp-port-leakage-on-isr-version-15-6-3-m1/td-p/3386287,0
Addition of CUCM to ELM fails due to se,08-20-2014,1316,5,5,https://supportforums.cisco.com//t5/ip-telephony/addition-of-cucm-to-elm-fails-due-to-security-error/td-p/2549199,1
Cisco IP Phone CP6901 DIALPLAN Config,01-16-2015,488,9,0,https://supportforums.cisco.com//t5/ip-telephony/cisco-ip-phone-cp-6901-dialplan-config/td-p/2561146,0
Connection between IM and presence serv,05-18-2018,134,2,0,https://supportforums.cisco.com//t5/ip-telephony/connection-between-im-and-presence-service-node-and-external/td-p/3385584,0
Blocking Inbound calls CUCM,05-20-2018,104,1,0,https://supportforums.cisco.com//t5/ip-telephony/blocking-inbound-calls-cucm/td-p/3386134,0
CME 12x SIP Plar,05-18-2018,138,2,0,https://supportforums.cisco.com//t5/ip-telephony/cme-12-x-sip-plar/td-p/3385773,0
Thirdparty phones on BE4000,05-18-2018,141,2,10,https://supportforums.cisco.com//t5/ip-telephony/third-party-phones-on-be4000/td-p/3385796,1
Telephony service is unavailable  IP P,05-18-2018,151,3,15,https://supportforums.cisco.com//t5/ip-telephony/telephony-service-is-unavailable-ip-phone-model-8851/td-p/3385770,0
CUCM 1151SU2 RISDB showing None but p,05-20-2018,86,1,0,https://supportforums.cisco.com//t5/ip-telephony/cucm-11-5-1su2-risdb-showing-none-but-phone-works-fine/td-p/3386065,0
Oneway SIP Trunk To Telco,05-11-2018,275,14,20,https://supportforums.cisco.com//t5/ip-telephony/oneway-sip-trunk-to-telco/td-p/3382178,0
Dial Peer Setup for CME,05-17-2018,135,2,0,https://supportforums.cisco.com//t5/ip-telephony/dial-peer-setup-for-cme/td-p/3385342,1
Cisco 1861E basic configuration CME,05-19-2018,116,2,0,https://supportforums.cisco.com//t5/ip-telephony/cisco-1861e-basic-configuration-cme/td-p/3385901,0
Cube Router with multiple sip trunk,05-09-2018,195,5,0,https://supportforums.cisco.com//t5/ip-telephony/cube-router-with-multiple-sip-trunk/td-p/3380669,1
TFTP Server,05-18-2018,209,6,0,https://supportforums.cisco.com//t5/ip-telephony/tftp-server/td-p/3385402,1
Password recovery IAD 2400,10-06-2008,604,2,0,https://supportforums.cisco.com//t5/ip-telephony/password-recovery-iad-2400/td-p/1123594,0
force Authorization Code,04-19-2018,192,4,0,https://supportforums.cisco.com//t5/ip-telephony/force-authorization-code/td-p/3368853,1
Cant Register Cisco IP Phone 8845 with,10-23-2016,211,3,5,https://supportforums.cisco.com//t5/ip-telephony/can-t-register-cisco-ip-phone-8845-with-cucm/td-p/2974918,0
Paxton Net2 with CME,09-01-2017,276,10,0,https://supportforums.cisco.com//t5/ip-telephony/paxton-net2-with-cme/td-p/3178996,0
Problems with printer and CP 7821,05-18-2018,141,4,0,https://supportforums.cisco.com//t5/ip-telephony/problems-with-printer-and-cp-7821/td-p/3385742,1
Multiple QoS on a L2 interface,05-17-2018,104,5,0,https://supportforums.cisco.com//t5/ip-telephony/multiple-qos-on-a-l2-interface/td-p/3385321,0
CUCM 1052  FXO receiving Busy tone ,05-17-2018,108,5,0,https://supportforums.cisco.com//t5/ip-telephony/cucm-10-5-2-fxo-receiving-busy-tone-inbound-calls/td-p/3385153,0
CUC Authenication policy for the voicem,05-03-2018,275,11,15,https://supportforums.cisco.com//t5/ip-telephony/cuc-authenication-policy-for-the-voicemail-users/td-p/3377226,1
