Heading,Content,Replies
Cisco ISR4331K9 router errors out of box,I’m receiving errors on a new Cisco ISR4331K9 router that I havent done any configurations on I was hoping someone could shed some light on why thefollowing messages are coming up on startupError1no valid BOOT image foundFinal autoboot attempt from default boot deviceLocated isr4300universalk9031604bS1553S4bextSPAbin Error 2  Interface errorsinterface Vlan1  Invalid input detected at  markerno ip address Incomplete commandshutdown Incomplete commandSETUP new interface Vlan1 placed in shutdown state BELOW IS BOOTInitializing Hardware Checking for PCIe device presencedoneSystem integrity status 0x610Rom image verified correctlySystem Bootstrap Version 1672r RELEASE SOFTWARECopyright c 19942017 by cisco Systems IncCurrent image running Boot ROM0Last reset cause LocalSoftISR4331K9 platform with 4194304 Kbytes of main memoryno valid BOOT image foundFinal autoboot attempt from default boot deviceLocated isr4300universalk9031604bS1553S4bextSPAbinPackage header rev 1 structure detectedIsoSize  471482368Calculating SHA1 hashValidate package SHA1 hash calculated 92A40F6FF8586BC3F00F114BEFB43257B9728643 expected 92A40F6FF8586BC3F00F114BEFB43257B9728643RSA Signed RELEASE Image Signature Verification SuccessfulImage validatedIOSXEBOOT4BOOTSRC rp0 mounting bootsuperiso to tmpswisos Restricted Rights LegendUse duplication or disclosure by the Government issubject to restrictions as set forth in subparagraphc of the Commercial Computer Software  RestrictedRights clause at FAR sec 5222719 and subparagraphc 1 ii of the Rights in Technical Data and ComputerSoftware clause at DFARS sec 2522277013 cisco Systems Inc 170 West Tasman Drive San Jose California 951341706 Cisco IOS Software ISR Software X8664LINUXIOSDUNIVERSALK9M Version 1553S4b RELEASE SOFTWARE fc1Technical Support httpwwwciscocomtechsupportCopyright c 19862016 by Cisco Systems IncCompiled Mon 17Oct16 2023 by mcpre Cisco IOSXE software Copyright c 20052016 by cisco Systems IncAll rights reserved Certain components of Cisco IOSXE software arelicensed under the GNU General Public License GPL Version 20 Thesoftware code licensed under GPL Version 20 is free software that comeswith ABSOLUTELY NO WARRANTY You can redistribute andor modify suchGPL code under the terms of GPL Version 20 For more details see thedocumentation or License Notice file accompanying the IOSXE softwareor the applicable URL provided on the flyer accompanying the IOSXEsoftware This product contains cryptographic features and is subject to UnitedStates and local country laws governing import export transfer anduse Delivery of Cisco cryptographic products does not implythirdparty authority to import export distribute or use encryptionImporters exporters distributors and users are responsible forcompliance with US and local country laws By using this product youagree to comply with applicable laws and regulations If you are unableto comply with US and local laws return this product immediatelyA summary of US laws governing Cisco cryptographic products may be found athttpwwwciscocomwwlexportcryptotoolstqrghtmlIf you require further assistance please contact us by sending email toexportciscocomcisco ISR4331K9 1RU processor with 1648789K6147K bytes of memoryProcessor board ID FLM2147W0SR3 Gigabit Ethernet interfaces32768K bytes of nonvolatile configuration memory4194304K bytes of physical memory3125247K bytes of flash memory at bootflashinterface Vlan1  Invalid input detected at  markerno ip address Incomplete commandshutdown Incomplete commandSETUP new interface Vlan1 placed in shutdown statePress RETURN to get startedApr 30 210419156 SMARTLIC6AGENTREADY Smart Agent for Licensing is initializedApr 30 210420741 IOSLICENSEIMAGEAPPLICATION6LICENSELEVEL Module name  esg Next reboot level  ipbasek9 and License  ipbasek9Apr 30 210421891 ISRTHROUGHPUT6LEVEL Throughput level has been set to 100000 kbpsApr 30 210426497 devpluggableopticsselftest attribute table internally inconsistent  0x144Apr 30 210430414 SPANTREE5EXTENDEDSYSID Extended SysId enabled for type vlanApr 30 210431418 LINK3UPDOWN Interface Lsmpi0 changed state to upApr 30 210431418 LINK3UPDOWN Interface EOBC0 changed state to upApr 30 210431418 LINK3UPDOWN Interface GigabitEthernet0 changed state to downApr 30 210431427 LINK3UPDOWN Interface LIIN0 changed state to upApr 30 210432760 IOSXEMGMTVRF6CREATESUCCESSINFO Management vrf Mgmtintf created with ID 1 ipv4 tableid 0x1 ipv6 tableid 0x1E000001Apr 30 210432811 LINEPROTO5UPDOWN Line protocol on Interface Vlan1 changed state to downApr 30 210432811 LINEPROTO5UPDOWN Line protocol on Interface Lsmpi0 changed state to upApr 30 210432811 LINEPROTO5UPDOWN Line protocol on Interface EOBC0 changed state to upApr 30 210432812 LINEPROTO5UPDOWN Line protocol on Interface GigabitEthernet0 changed state to downApr 30 210432812 LINEPROTO5UPDOWN Line protocol on Interface LIIN0 changed state to upApr 30 210434835 SYS5CONFIGI Configured from memory by consoleApr 30 210434840 IOSXEOIR6REMSPA SPA removed from subslot 00 interfaces disabledApr 30 210434842 SPAOIR6OFFLINECARD SPA ISR43313x1GE offline in subslot 00Apr 30 210434847 IOSXEOIR6INSCARD Card fp inserted in slot F0Apr 30 210434847 IOSXEOIR6ONLINECARD Card fp online in slot F0Apr 30 210434848 IOSXEOIR6INSCARD Card cc inserted in slot 0Apr 30 210434848 IOSXEOIR6ONLINECARD Card cc online in slot 0Apr 30 210434851 IOSXEOIR6INSCARD Card cc inserted in slot 1Apr 30 210434851 IOSXEOIR6ONLINECARD Card cc online in slot 1Apr 30 210434857 IOSXEOIR6INSSPA SPA inserted in subslot 00Apr 30 210434898 SPA3ENVMONNOTMONITORED SIP1 iomd Environmental monitoring is not enabled for ISR43313x1GE00Apr 30 210436296 LINK5CHANGED Interface GigabitEthernet0 changed state to administratively downApr 30 210436835 LINK5CHANGED Interface Vlan1 changed state to administratively downApr 30 210437517 SYS6BOOTTIME Time taken to reboot after reload  268 secondsApr 30 210439624 SPAOIR6ONLINECARD SPA ISR43313x1GE online in subslot 00SH RUNRoutersh run Building configurationCurrent configuration  1182 bytesversion 155service timestamps debug datetime msecservice timestamps log datetime msecno platform puntkeepalive disablekernelcorehostname Routerbootstartmarkerbootendmarkervrf definition Mgmtintfaddressfamily ipv4exitaddressfamilyaddressfamily ipv6exitaddressfamilyno aaa newmodel subscriber templatingmultilink bundlename authenticatedlicense udi pid ISR4331K9 sn FDO21410WKWspanningtree extend systemidredundancymode nonevlan internal allocation policy ascending interface GigabitEthernet000no ip addressshutdownnegotiation autointerface GigabitEthernet001no ip addressshutdownnegotiation autointerface GigabitEthernet002no ip addressshutdownnegotiation autointerface GigabitEthernet0vrf forwarding Mgmtintfno ip addressshutdownnegotiation autointerface Vlan1no ip addressshutdownip forwardprotocol ndno ip http serverno ip http secureserverip tftp sourceinterface GigabitEthernet0controlplaneline con 0stopbits 1line aux 0stopbits 1line vty 0 4loginEnd SH HARDRoutersh hardCisco IOS XE Software Version 031604bS  Extended Support ReleaseCisco IOS Software ISR Software X8664LINUXIOSDUNIVERSALK9M Version 1553S4b RELEASE SOFTWARE fc1Technical Support httpwwwciscocomtechsupportCopyright c 19862016 by Cisco Systems IncCompiled Mon 17Oct16 2023 by mcpreCisco IOSXE software Copyright c 20052016 by cisco Systems IncAll rights reserved Certain components of Cisco IOSXE software arelicensed under the GNU General Public License GPL Version 20 Thesoftware code licensed under GPL Version 20 is free software that comeswith ABSOLUTELY NO WARRANTY You can redistribute andor modify suchGPL code under the terms of GPL Version 20 For more details see thedocumentation or License Notice file accompanying the IOSXE softwareor the applicable URL provided on the flyer accompanying the IOSXEsoftwareROM IOSXE ROMMONRouter uptime is 32 minutesUptime for this control processor is 33 minutesSystem returned to ROM by reloadSystem image file is bootflashisr4300universalk9031604bS1553S4bextSPAbinLast reload reason Reload Command This product contains cryptographic features and is subject to UnitedStates and local country laws governing import export transfer anduse Delivery of Cisco cryptographic products does not implythirdparty authority to import export distribute or use encryptionImporters exporters distributors and users are responsible forcompliance with US and local country laws By using this product youagree to comply with applicable laws and regulations If you are unableto comply with US and local laws return this product immediatelyA summary of US laws governing Cisco cryptographic products may be found athttpwwwciscocomwwlexportcryptotoolstqrghtmlIf you require further assistance please contact us by sending email toexportciscocom Suite License Information for ModuleesgSuite Suite Current Type Suite Next reboot FoundationSuiteK9 None None None securityk9appxk9AdvUCSuiteK9 None None None uck9cmesrstcubeTechnology Package License InformationTechnology Technologypackage Technologypackage Current Type Next reboot appxk9 None None Noneuck9 None None Nonesecurityk9 None None Noneipbase ipbasek9 Permanent ipbasek9cisco ISR4331K9 1RU processor with 1648789K6147K bytes of memoryProcessor board ID FLM2147W0SR3 Gigabit Ethernet interfaces32768K bytes of nonvolatile configuration memory4194304K bytes of physical memory3125247K bytes of flash memory at bootflashConfiguration register is 0x2102,Hi I think you updated the IOS  deleted from flash but didnt update the boot maker try with below command bootstartmarker boot system flashisr4300universalk9031604bS1553S4bextSPAbinexit Regards Deepak Kumar RVCE Thank You so much for your quick response The router IOS was not upgraded actually I took it out of the box and the errors that displayed were the ones from the factory install After adding the config line to the router boot system flash isr4300universalk9031604bS1553S4bextSPAbin the error no valid BOOT image found is gone I was wondering if you or anyone else would know about the interface errors interface Vlan1  Invalid input detected at  marker no ip address Incomplete command shutdown Incomplete command SETUP new interface Vlan1 placed in shutdown state They show up at the end of the bootup process cisco ISR4331K9 1RU processor with 1648789K6147K bytes of memoryProcessor board ID FLM2147W0SR3 Gigabit Ethernet interfaces32768K bytes of nonvolatile configuration memory4194304K bytes of physical memory3125247K bytes of flash memory at bootflash interface Vlan1  Invalid input detected at  marker no ip address Incomplete command shutdown Incomplete command SETUP new interface Vlan1 placed in shutdown state Press RETURN to get started RVCE Error message is fine RVCE I ended up being able to put a support case in with cisco and the solutions were 1 Add line boot system flash bootflashisr4300universalk9031604bS1553S4bextSPAbin to config to get rid of error no valid BOOT image found 2 I would have to install a NIMES28P card to remove the Vlan interface errors Thank You for your replies Paul
bcp38 vs  ipv4 verify unicast source reachablevia,does not ipv4 verify unicast source reachablevia rx cover doing ingress accesslist on the access edge Im trying to figure this out but im not 100 sure it does Im trying to figure out if i need both I probably need to do any if i turn to hsrp but im not positive on that either,Hello in what context is the access list used  RX strict checking needs a match in the FIB for either the packet source address or the ingress  Unicast RPF interface Can you elaborate  Or post the part of the config you are referring to  RVCE this is an example My question is should i do an explicit acl also here with ipv4 accesslist BCP38 10 permit ipv4 5550 000255 any20 deny ipv4 any any loginput interface BVI117 description InetVLAN117 vrf InternetEdge ipv4 address 55565 255255255192 ipv4 verify unicast source reachablevia rx if the unicast verify is compromised blocked is there a way to get it logged
Routing  traffic issue,Hi Im having some traffic issue and not sure where else I can have a look as I check all routes and all looks ok to me but for some reason the traffic is not flowing as I would expect it the requirement is that the shop should be able to talk to AWS 10XX600 through MPLS network and our HO infrastructure so if shop goes to AWS recourse the traffic should look like shop  mpls  mpls ASA  core switch L3  open ASA  ecomm ASA  AWS router  AWS at the moment the traffic stop on the ecomm ASA 172112214 however if I do traceroute from the core switch the traffic will reach AWS router 10XX01 and this would be the last hop I would expect ot see as further all is blocked in terms of pings and traceroutes I have attached some drawing so its easier to illustrate and changedmask IPs for some random any assistance would be appreciated,A lot of information here Very thorough but a little tough to decipher Anyhow Im just going to give you my initial thoughts 1 I see it is a VPN from the AWS router 10xx01 to AWS Need to verify the 1050XXXX space is part of that VPNs interesting traffic 2 It looks like the routing is fine from the shop to the AWS router It is interesting the trace route from the CORE SWITCH gets the response from 10XX01 yet the others dont Not sure what to make of that 3 Keep in mind that any trace route initiated by an intermediate device will probably use its outbound interface as source So unless all the devices in the path know of that network and return route the trace will not go as far So the trace router from the AWS router will use 10XX01 as source but if the MPLS ASA after the CORE SWITCH does not have that return route the trace will end there since it cannot respond However perhaps if you leave the trace up it may start responding after a few hops Hope this is of some help RVCE Hi chrihussey thank you for the responce 1 its the BGP routing to AWS so we dont have interested traffic not like standard site to site VPN where you specify LAN and Remote range 2 this is what puzzle me as well that the core switch which is before ASAs can traceroute but ASAs cant 3 all ASA and core switch have the routes and routes for return traffic so each device have a route for the next hope for this range and next hop have a route for another next hope if this make sense so MPLS ASA for the 10XX600 have a route to go to Core switch and core switch for this network have a route for OPEN ASA and open ASA will go to ECOMM and ECOMM to AWS routerand return path is AWS route for 1050XX will go to ECOMM ASA on 10XX02 interface from ECOMM route to Open ASA 172112213 from open asa to core switch 101122254 itd now open ASA and ECOMM asa are connected with cable together and interfaces are set open asa 172112213 and ECOMM asa 172112214 they are not connected via switch so not sure if this make a difference I have configured subinterface n the ECOMM ASA as 101122240 and configured route for 1050XXXX to go via 101122240 vlan and ecomm ASA can traceroute back to the shop in this situation but I still cant reach AWS from the shop hope this make sense RVCE 1 Can you do a trace route from AWS Router to 101122249 MPLS ASA 2 Can you do a trace route from MPLS ASA to 10XX01 AWS Router 3 When you do the trace route from AWS Router to the Shop do you stop it after the first non response If so can you let it continue for some additional hops just to see if you start seeing a response RVCE when i do1 trace route from AWS Router to 101122249 MPLS ASAit will go only up to the core switch 101122254 and than I have    2 when I do do a trace route from MPLS ASA to 10XX01 AWS Routerit will go up to the ecomm ASA 172XXXX14 and than I have    3 I let it to continue but it will go for many lines as     RVCE So fundamentally everything looks correct and it is somewhat puzzling However it appears that the MPLS ASA CORE SWITCH and OPEN ASA share a common LAN segment 101122xxx If that is the case why is it necessary for the MPLS ASA to go to the CORE SWITCH and then go to the OPEN ASA to get to AWS and not go directly to the OPEN ASA and vice versa and avoid the two hops in the same subnet and possible redirects The only reason I am asking is because from the CORE switch to the shop and to AWS the trace route succeeds This would be the only instance where this would not be occurring So without this redirect it appears to work It might not be anything but just pointing it out RVCE this is how the other routes were set up so I just wanted to keep it consistent the only difference is that this is the first route going from the shop over MPLS all works from the HO over to AWS 10XX600 so I know the AWS part workseven if I skip the core switch I still cant traceroute from the open ASA to the shop and from MPLS ASA to AWS RVCE Its difficulty to say whats happening Short of the trace route anomaly things look OK Id verify the Shops network is being advertised to AWS from the AWS Router That seems to be the only unknown Other than that the next step might just be to get a packet capture Perhaps at the AWS router just to see whats happening to the packets from the shop Not sure what type router it is but if it has the remote packet capture feature it could provide some answers RVCE turns out all to be ok internally  was an issue with the return patch on the MPLS network so the ISP needed to advertise the aws router 10XX01 the traceroutes were confusing though thanks for help RVCE is there a way to delete the attachment now I changed the IPs so no big issues but just in case   RVCE Glad to hear you figured things out Dont know about deleting the attachment Not exactly sure how to do it but you could try to reach out to one of the community forum moderators Regards
ASR 1006  SASR1R2AISK9MS,HelloFind out that the old ASR1006 part  SASR1R2AIS316S  is no more available and replaced withSASR1R2AISK9MS Does any one has details of the difference between the two Is Managed Service MS any different from regular Advance IP ServiceAIS license Thanks,
NBAR2 and MS OneDrive,Does anyone have a working NBAR2 custom protocol for MS OneDrive I enabled protocol discovery and ran a sync and it is matching the sharepoint protocol within the protocol pak but I dont know what else falls into that category other than sharepoint and onedrive that I may affect I am looking to throttle OneDrive traffic I tried a DNS based custom protocol matching msedgenet packet capture showed my sync using xxxxxxbmsedgenet however this didnt work A packet capture also only shows the name resolution occurring sometimes,
Carving BGP Routes Inbound,Hi Is it possible to carve a block that you are receivingFor example RouterA  AS100  Advertise 1921680016eBGP PeeringRouterB  AS200  Receives 1921680016iBGP PeeringRouterC  AS200  Only wants 1921681024 Now RouterB is seeing the 16 but I only want to allow 1921681024 of the advertisement Is there a way to do this without any static nailups in my AS Thanks Jack Solved Go to Solution,Hello on a side note and that would require some configuration changes you could configure an inject map on your router B that injects the 1921681024 network and then filter out the 1921600 on router C Riouter B router bgp 200 bgp routerid 2222 bgp logneighborchanges bgp injectmap INJECTMAP existmap EXISTMAP network 2222 mask 255255255255 neighbor 192168121 remoteas 200 neighbor 192168121 nexthopself neighbor 192168233 remoteas 100ip prefixlist EXISTINGROUTE seq 5 permit 1921680016ip prefixlist INJECTEDROUTES seq 5 permit 1921681024ip prefixlist ROUTESOURCE seq 5 permit 19216823332routemap INJECTMAP permit 10 set ip address prefixlist INJECTEDROUTESroutemap EXISTMAP permit 10 match ip address prefixlist EXISTINGROUTE match ip routesource prefixlist ROUTESOURCE Router C router bgp 200 bgp routerid 1111 bgp logneighborchanges network 1111 mask 255255255255 neighbor 192168122 remoteas 200 neighbor 192168122 nexthopself distributelist prefix DENY19216 inip prefixlist DENY19216 seq 5 deny 1921680016ip prefixlist DENY19216 seq 10 permit 1921680016 ge 24 RVCE Unless you are receiving the 24 via eBGP I dont think there is a way to create it out of the 16 without having to do something in the iBGP like the static you suggest Regards RVCE Hello on a side note and that would require some configuration changes you could configure an inject map on your router B that injects the 1921681024 network and then filter out the 1921600 on router C Riouter B router bgp 200 bgp routerid 2222 bgp logneighborchanges bgp injectmap INJECTMAP existmap EXISTMAP network 2222 mask 255255255255 neighbor 192168121 remoteas 200 neighbor 192168121 nexthopself neighbor 192168233 remoteas 100ip prefixlist EXISTINGROUTE seq 5 permit 1921680016ip prefixlist INJECTEDROUTES seq 5 permit 1921681024ip prefixlist ROUTESOURCE seq 5 permit 19216823332routemap INJECTMAP permit 10 set ip address prefixlist INJECTEDROUTESroutemap EXISTMAP permit 10 match ip address prefixlist EXISTINGROUTE match ip routesource prefixlist ROUTESOURCE Router C router bgp 200 bgp routerid 1111 bgp logneighborchanges network 1111 mask 255255255255 neighbor 192168122 remoteas 200 neighbor 192168122 nexthopself distributelist prefix DENY19216 inip prefixlist DENY19216 seq 5 deny 1921680016ip prefixlist DENY19216 seq 10 permit 1921680016 ge 24
VPN  Almost have this working Im so close but need help,I have a site to site IPSEC VPN setup The tunnel is up I can ping the other side from the router by doing ping 172161755 source 19216891 also works from 192168101 That command comes back with a success The problem is though that I cant ping the remote LAN from any of the client computers connected to the router It just times out The gateway on the clients is the routers inside IP 192168101 I am able to connect to the internet and ping the local LAN from all the clients Heres my config IPs are masked for security reasons Current configuration  3019 bytes Last configuration change at 205758 UTC Wed May 9 2018version 151service timestamps debug datetime msecservice timestamps log datetime msecno service passwordencryptionhostname CPRT01bootstartmarkerbootendmarkerenable secret 4 uDpzaRng4tz3KhoLiS9QFFXLoQBXqKuI55fQ0lSEaQno aaa newmodeldot11 syslogip sourcerouteip cefip dhcp excludedaddress 192168101 1921681099ip dhcp pool dpool10 import all network 192168100 2552552550 defaultrouter 192168101 dnsserver 1921681040 1921681041 ip dhcp pool dpool9 import all network 19216890 2552552550 defaultrouter 19216891 dnsserver 8888 8844 no ip domain lookupip domain name xxxxxxxxxxxcomno ipv6 cefmultilink bundlename authenticatedvoicecard 0crypto pki token default removal timeout 0license udi pid CISCO3825 sn FTX1325AHNFarchive log config hidekeysredundancy crypto isakmp policy 100 encr aes authentication preshare group 14 lifetime 28800crypto isakmp key xxxxxxxx address abcd noxauthcrypto ipsec transformset aesset espaes espshahmac crypto map aesmap 100 ipsecisakmp set peer abcd set transformset aesset set pfs group14 match address aclvpn   interface GigabitEthernet00 description LAN DATA ip address 192168101 2552552550 ip nat inside ip virtualreassembly in duplex auto speed auto mediatype rj45 interface GigabitEthernet009 description LAN VOICE encapsulation dot1Q 9 ip address 19216891 2552552550 ip nat inside ip virtualreassembly ininterface GigabitEthernet01 description WAN ip address abce 255255255252 ip nat outside ip virtualreassembly in duplex auto speed auto mediatype rj45 crypto map aesmapip forwardprotocol ndno ip http serverno ip http secureserver ip nat inside source list aclnat interface GigabitEthernet01 overloadip route 0000 0000 abcfip route 172161750 2552552550 GigabitEthernet01ip route 172162500 2552552550 GigabitEthernet01ip accesslist extended aclnat deny ip 192168100 000255 172161750 000255 deny ip 19216890 000255 172161750 000255 deny ip 192168100 000255 172162500 000255 deny ip 19216890 000255 172162500 000255 permit ip 192168100 000255 any permit ip 19216890 000255 anyip accesslist extended aclvpn permit ip 192168100 000255 172161750 000255 permit ip 19216890 000255 172161750 000255 permit ip 192168100 000255 172162500 000255 permit ip 19216890 000255 172162500 000255    controlplane  mgcp fax t38 ecm mgcp profile default   line con 0line aux 0line vty 0 4 password xxxssxxx login transport input telnet sshline vty 5 924 password xxxxxxx login transport input telnet ssh scheduler allocate 20000 1000end,No one knows Would really appreciate some help RVCE HiIll try to assist Do you control the other end of the tunnel if so can you provide that configCan you run debug ip icmp on the router and ping from a client computer and provide the output If possible run the same debug on both routers and provide the output RVCE I figured it out I had 2 IP routes sending VPN traffic over the outside interface All is working now
router not able to access ssh and snmp monitoring service down,Not able to access the router through SSH We are able to see the incoming traffic to the router but not observing reverse traffic from router Router are configured in HSRP and both the routers are not accessible,Hello do you have the rsa keys configured on both routers crypto key generate rsa 1024  Also make sure your VTY lines are configured as below line vty 0 4login localtransport input ssh RVCE Thanks i ll check RVCE already configred this one but still to be continue the issue RVCE Hello what is the output oh show ip ssh of both routers  RVCE i ll let you know
Registering and contract for used SX20 equipment,HI I have recently bought 2 sets of SX20 and want to register them and get contract What is the process and where to contact,
iBGP loss of connectivity,Hi Id like some advice from the BGP experts amongst you on iBGP peering Our network has four iBGP peers two at each of the DC sites with a single link connecting them Lets call them rt01  rt02 at site one and rt03  rt04 at site two On the LAN side all four have connectivity between them On the WAN side all four are connected through a common eBGP relationship What Would happen to the BGP relationships if the link between the two sites went down which would leave two routers at site one and two at site two In this scenario all four routers would maintain their eBGP relationship over the WAN but we would now have iBGP relationship between rt01 and rt02 and another iBGP relationship between rt03 and rt04 both iBGP relationships using the same AS number Another question is one router is offering a default route so would this be seen by all other routers in the same AS Thanks in advance Solved Go to Solution,Yes the EBGP peering with the outside would be maintained However the problem would be that if there are common networks at both DC sites then you would probably have issues as the EBGP would see the routes from all four Optimally you would want to set it up in a way that the if LAN connectivity was lost between the two DCs then the networks specific to each DC would only be advertised in the eBGP As far as the default route is concerned it would probably be best if at least one router at each DC was had a default route In normal operation one could potentially be advertised over another and the other advertised only if the primary was lost Hope this helps RVCE Yes the EBGP peering with the outside would be maintained However the problem would be that if there are common networks at both DC sites then you would probably have issues as the EBGP would see the routes from all four Optimally you would want to set it up in a way that the if LAN connectivity was lost between the two DCs then the networks specific to each DC would only be advertised in the eBGP As far as the default route is concerned it would probably be best if at least one router at each DC was had a default route In normal operation one could potentially be advertised over another and the other advertised only if the primary was lost Hope this helps RVCE Thanks for your reply its been very helpful The actual setup is more complicated than described but I wanted to put out a scenario to see what options were available to me Following your response Ive run a few labs and can now see the consequences of various failure scenarios Thanks again
