Heading,Content,Replies
zone based firewall,Good afternoonWe are going to deploy on our border ASR zone based firewall ZBFand there were a couple of questions1 What is the maximum number of zones can be created in the documentation I did not find it2 How much the performance of ZBF is strongly affected by the performance it will unfold onASR 1002xThank you ,
IP Camera not working over wireless P2P Link,HiMy office main building and backup site is connected via wireless P2P link Bridges being used are Cisco 1200 series The link is working absolutely fine since years Recently we had installation of IP Cameras in office as well as 1 camera at backup site For cameras I have separate vlan with class B ip scheme used for cameras Problem is the camera at backup site does not work ie no display no ping Configuration isSite A Office Cisco 3560 SwitchVLAN Name CCTV  ID 60 20 cameras connected to this vlan in office are working absolutely fine Site B Backup siteCisco 3560 SwitchVLAN Name CCTV ID 60 if i connect this camera to normal Dlink switch and to the same switch i connect my laptop it works absolutely fineWhat could be the problem if anyone could helpsupportsuggestPlease note same vlan has also been created on bridgesThanks,Hello my first thought is how are both 3560 switches connected  Can you post the output of sh vlan sh vtp status from both switches  Dear Georg Thanks for the reply Both switches are connected over wireless P2P link Bridges being used are Cisco 1200 series Link is working perfectly fine since years as offices LAN is easily accessible at backup site Please find below the details of sh vlan and sh vtp status from both switches Officesh vlan VLAN Name Status Ports   1 default active Gi049 Gi050 Gi051 Gi05210 PrimaryLink active20 BackupLink active30 WIFI active40 ThirdISP active50 OFFICENetwork active Gi041 Gi042 Gi043 Gi044 Gi045 Gi04660 CCTVAccess active Gi01 Gi02 Gi03 Gi04 Gi05 Gi06 Gi07 Gi08 Gi09 Gi010 Gi011 Gi012 Gi013 Gi014 Gi015 Gi016 Gi017 Gi018 Gi019 Gi020 Gi021 Gi022 Gi023 Gi024 Gi025 Gi026 Gi027 Gi028 Gi029 Gi030 Gi031 Gi032 Gi033 Gi034 Gi035 Gi036 Gi037 Gi038 Gi039 Gi04070 VOIP active1002 fddidefault actunsup1003 trcrfdefault actunsup1004 fddinetdefault actunsup1005 trbrfdefault actunsup VLAN Type SAID MTU Parent RingNo BridgeNo Stp BrdgMode Trans1 Trans2          1 enet 100001 1500      0 010 enet 100010 1500      0 020 enet 100020 1500      0 030 enet 100030 1500      0 040 enet 100040 1500      0 050 enet 100050 1500      0 060 enet 100060 1500      0 070 enet 100070 1500      0 01002 fddi 101002 1500      0 01003 trcrf 101003 4472 1005 3276   srb 0 01004 fdnet 101004 1500    ieee  0 01005 trbrf 101005 4472   15 ibm  0 0 VLAN AREHops STEHops Backup CRF   1003 7 7 off Remote SPAN VLANs Primary Secondary Type Ports    Officesh vtp statusVTP Version  running VTP2Configuration Revision  18Maximum VLANs supported locally  1005Number of existing VLANs  12VTP Operating Mode  ClientVTP Domain Name  mycompanyVTP Pruning Mode  DisabledVTP V2 Mode  EnabledVTP Traps Generation  DisabledMD5 digest  0xE9 0x15 0xBA 0x39 0x6F 0xBA 0xC3 0xB7Configuration last modified by 1921682203 at 111093 072041 backupsitesh vlan VLAN Name Status Ports   1 default active Gi023 Gi02410 PrimaryLink active20 BackupLink active30 WIFI active Gi021 Gi02240 ThirdISP active50 OFFICENetwork active Gi05 Gi06 Gi07 Gi08 Gi09 Gi010 Gi011 Gi012 Gi013 Gi014 Gi015 Gi016 Gi017 Gi018 Gi019 Gi02060 CCTVAccess active Gi01 Gi02 Gi03 Gi0470 VOIP active1002 fddidefault actunsup1003 trcrfdefault actunsup1004 fddinetdefault actunsup1005 trbrfdefault actunsup VLAN Type SAID MTU Parent RingNo BridgeNo Stp BrdgMode Trans1 Trans2          1 enet 100001 1500      0 010 enet 100010 1500      0 020 enet 100020 1500      0 030 enet 100030 1500      0 040 enet 100040 1500      0 050 enet 100050 1500      0 060 enet 100060 1500      0 070 enet 100070 1500      0 01002 fddi 101002 1500      0 01003 trcrf 101003 4472 1005 3276   srb 0 01004 fdnet 101004 1500    ieee  0 01005 trbrf 101005 4472   15 ibm  0 0 VLAN AREHops STEHops Backup CRF   1003 7 7 off Remote SPAN VLANs Primary Secondary Type Ports    backupsitesh vtp statusVTP Version capable  1 to 3VTP version running  2VTP Domain Name  mycompanyVTP Pruning Mode  DisabledVTP Traps Generation  DisabledDevice ID  44d3ca9ff100Configuration last modified by 1921682208 at 32293 232527Local updater ID is 1921682208 on interface Vl50 lowest numbered VLAN interface found Feature VLANVTP Operating Mode  ServerMaximum VLANs supported locally  255Number of existing VLANs  12Configuration Revision  5MD5 digest  0x69 0x71 0x96 0x94 0x0C 0xF3 0x55 0x5A 0xDF 0xF5 0x4A 0xC7 0xC6 0xB7 0x70 0x71
DNA,,Use Digital Network Architecture DNA to sense and understand the context of everything that is happening across all applications users and devices in your network With new assurance capabilities your network can help you get to the right action faster
CCIE RS,Dear Brothers Could you please share with me the CCIE RS study plan for both written and LAB examwhat kind of material shall i use first ie books nuggetsetc  Please help me in below points and give me suggestion 1 I dont know where to start from2 Also tell me which books and nuggets shall i follow tell me author name3 I am doing a job so tell me how many hours shall i study daily or weekly 4 Any whatsUp of Skype group which i can join purely for preparation of CCIE RS Please help me in replying the above questions i shall he very thankful to you Thanks,hiyoure questions are more appropriate in the cisco learning network CLNhttpslearningnetworkciscocomgroupsccieroutingandswitchingstudygroup ehsan12345 about 2 hours ago Dear Brothers Could you please share with me the CCIE RS study plan for both written and LAB examwhat kind of material shall i use first ie books nuggetsetc  Please help me in below points and give me suggestion 1 I dont know where to start from 2 Also tell me which books and nuggets shall i follow tell me author name 3 I am doing a job so tell me how many hours shall i study daily or weekly 4 Any whatsUp of Skype group which i can join purely for preparation of CCIE RS Please help me in replying the above questions i shall he very thankful to you Thanks Hi Ehsan In order to prepare for CCIE you need to give dedicated efforts for studies on RS concept Study as books which are recommend for more clarification on concept and nuggets help you more to understand when some is teaching you and that can clear more of your doubts which you may not able to clear by studying books and I would suggest if you can join some academy for training and practice would be good for your dedicated effort Check out the below link of guidance how to achieve CCIE httplkhillcomcciepreparationstudyscheduling Hope it Helpss GI Rate if it Helps  1 I dont know where to start fromThat depends on where you are now In general before going for CCIE you should first finish the CCNP and before that CCNA and know that stuff insideout 3 I am doing a job so tell me how many hours shall i study daily or weekly Hopefully a job that has to do with RS When coming from a CCNPlevel with relevant experience calculate with four hours daily for minimum half a year  Dont stop after youve improved your network Improve the world by lending money to the working pooror share a meal with a hungry child HelloFyi I am averaging 30hrs a week at present but it my retention span is bad so I guess it all depends on the individual respaul Please dont forget to rate any posts that have been helpfulThanks Presumably you already have the CCNPIf so I am surprised you would need to ask such detailed questionsYou obviously studied for the CCNP RS so surely you know what methods existA quick search on google will answer the first two questionsEveryone learns at a different pace so question 3 is impossible to answer reallyUnsure on question four Cisco Certified Internetwork Expert CCIE certification is a series of technical certifications for senior networking professionals who design build implement maintain and troubleshoot complex enterprise networking infrastructures Check out the below link of guidance how to achieve CCIE httpsciscocentralblogspotinpciscocertificationshtml
Cisco Catalyst 950040X Fans Included or not,I am trying to quote a Cisco Catalyst 950040XA switch for a customer and the datasheet is unclear as to whether or not I need to include 5 of the FANT4R modules I opened a PDI ticket and they said that the power supplies have fans built in and I can order the FANT4R modulesbut they didnt tell me if they are required or not Thanks in advance,See table15 in this link The chassis comes with 2 power supplies and build in fans httpswwwciscocomcenusproductscollateralswitchescatalyst9500seriesswitchesdatasheetc78738978html HTH So they fans that are built into the power supplies are sufficient to cool the system under normal operations correct Meaning I do not have to order the fan modules  they are completely optional The fans are builtin and come with the switch If you look at the picture in the link I posted the switch comes with 2 PSUs and 4 or 5 fan trays HTH
CPU,Hi I have a 4506 switch running  cat4500euniversalk9SPA030607E1522E7bin where we are getting high cpu Core 0 CPU utilization for five seconds 19 one minute 28 five minutes 33Core 1 CPU utilization for five seconds 94 one minute 65 five minutes 58PID Runtimems Invoked uSecs 5Sec 1Min 5Min TTY Process4590 237289 27421279 294 5639 4638 4521 0 iosd 4544 2857663 33687667 212 036 033 033 0 ffm 7 146605 6044430 24 004 001 003 0 sirqnetrx Please help to resolve the issue,Hi It could be a bug an upgrade could be required I suggest open a case with the Cisco TAC to analize the device please check this link httpssupportforumsciscocomt5lanswitchingandroutingiosdprocessgetting50cpuutilizationtdp2235501  can you share the bug id same time i have another device cat4500euniversalk9SPA030607E1522E7binrunning in latest IOS  Please Suggest on the above Hello Can you post show process cpu sorted  ex 0 res Paul Please dont forget to rate any posts that have been helpfulThanks Core 0 CPU utilization for five seconds 19 one minute 28 five minutes 33 Core 1 CPU utilization for five seconds 94 one minute 65 five minutes 58 PID Runtimems Invoked uSecs 5Sec 1Min 5Min TTY Process 4590 237289 27421279 294 5639 4638 4521 0 iosd 4544 2857663 33687667 212 036 033 033 0 ffm If one gets high CPU and the process causing this is iosd this normally means that the supervisor card is being hammered by downstream clients pushing too much data To find out which ones they are just look at the interface counters with very high Total Output Drops S 1 Below you can find a simple guide to troubleshoot on the most common causes of high CPU in the 4500 platform just in case you need it for future reference httpwwwciscocomenUSproductshwswitchesps663productstechnote09186a00804cef15shtml 2 Kindly check in the logs if there are any logs pointing to any routing protocols flaps HSRP flapsMAC addres flaps 3 If any issues see when the routes are unreachalbe refer the following bug CSCua99861  High CPU identified attributed to L3 Glean packets coming in from a couple of print servers sending packets to unknown destinations and after shutting them down the CPU had dropped down 4Further more to determine the root cause we would need the following information  show version show module  show process cpu history  show processes cpu sorted  show processes cpu detailed process iosd sorted  show platform health  show platform cpu packet statistics  show platform cpu packet statistics all  show platform cpu packet buffered  show ip traffic
licence,Can any one help me to know what is the below process indicate licensed  The same process were utilized a major portion of the CPU at the time of High utilization Core 0 CPU utilization for five seconds 75 one minute 73 five minutes 70Core 1 CPU utilization for five seconds 73 one minute 77 five minutes 74PID Runtimems Invoked uSecs 5Sec 1Min 5Min TTY Process5032 4255823 39714608 259 3998 3984 3714 0 licensed5079 2381520 26893411 442 3227 3356 3316 0 iosd,Hello could be related to smart licensing do you have that enabled  Which device is this output from  smart licensing is not enabled the device model no is  WSC4500X32 IOSXE VERcat4500euniversalk9SPA030801E1524E1bin Kindly help me to know about this process Hello I cannot find anything on that specific process Can you post the configuration of the switch  Maybe there is a clue in there 5079 2381520 26893411 442 3227 3356 3316 0 iosd Ok this is the process that is chewing the CPU of the switch However instead of me pointing at the usual suspect of an IOS bug the process iosd means the switch is overutilized Look at each 10 Gbps interface and determine which one is dropping packets This is the culprit
Connect VLANs from 2 switches via a router,Hi everyone as in the project attached I want the Network Administrator to communicate with all the computers I can just do it with the computers in Switch 1 I cant get Network Administrator to ping the computers in Switch 2right Could you please check and offer solution  Thank you,Hello this looks like a Packet Tracer project post the pkt file rename it to jpg first otherwise the system wont let you upload Thanks for the tip I attached it as jpg please change extension to pkt Thanks so much Hello you are using the same address space on two sides of the router 19216810 and 192168990 This doesnt work What is the requirement  The easiest way to resolve this is to connect one switch to the other as I have done in the project attached there has to be a router connecting 2 switches And all the vlans can communicate to each other The network administrator can ping all the computers Is the requirement to use the same address space on both switches  It doesnt say anything about that Just use trunking int vlan and encapsulation command Here is the instruction file Im stuck at the last question at page 6 add a router between the two switches to allow all vlans to communicate with each other Thanks so much for your help Hello just change the IP addresses of the computers connected to the switch on the right as I have done in the attached project file is there any way we can keep the addresses because the requirement is like the figure in page 7 You need to use bridging Could you please tell how to do that So we cant make the computers on the right switch connected just using concepts in the pdf file Thanks Hello are you supposed to accomplish this task in Packet Tracer  Packet Tracer has a very limited subset of commands it does not support bridging yes i have to use packet tracer But if there is no way to connect like this so maybe the right computers cant get connected to the network using this topology Because the question asks for what PC replies to Network Administrator
VLAN ADD,Can anybody guide please what are the steps need to take We to add 2 vlans for our Boise SiteCurrent Subnets 19216835024 and 19216836024Need to add 19216837024 and 19216838024 For the routers its these devices below Boise43311 and 2Ip 19216835253And19216835248 I think this is the code to add to the routersBut then the Vlan’s need to be added to the other devices interface GigabitEthernet00137description Bosie Video Networkencapsulation dot1Q 37ip address 19216837253 2552552550ip nat insideip flow monitor NTAMonitor inputstandby 37 ip 19216837254standby 37 priority 105standby 37 preemptdelay 25000 interface GigabitEthernet00138description Boise Wifi Networkencapsulation dot1Q 38ip address 19216838253 2552552550ip nat insideip flow monitor NTAMonitor inputstandby 38 ip 19216838254standby 38 priority 105standby 38 preemptdelay 25000router eigrp WANaddressfamily ipv4 unicast autonomoussystem 500router eigrp WANexitaftopologynetwork 19216837253 0000network 19216838253 0000 ip accesslist extended INETRETURNpermit ip any 192168370 000255permit ip any 192168380 000255,Hi Waqas I believe you need to add 2 more new VLANs with HSRP to the existing configuration If that is the case your router configuration looks good to me Do not forget to create the respective VLANs on to the switches and add them to the respective trunk ports eg switchport trunk allowed vlan add 3738  HTH Meheretab
SFF84725THRESHOLDVIOLATION Gi02 Rx power high warning Operating value  27 dBm Threshold value  30 dBm,Hi Guys we are reciving this kind of logs into our CGS 2520 Switches with SFP modules all fiber were checked without any issue only thing pending is install Attenuators SFP modules were tested in other side with other fiber working properly but interfaces not coming up Any recommendation  May 21 2018 024609849 CST SFF84725THRESHOLDVIOLATION Gi02 Rx power high warning Operating value 27 dBm Threshold value 30 dBmMay 21 2018 025610058 CST SFF84725THRESHOLDVIOLATION Gi02 Rx power high warning Operating value 27 dBm Threshold value 30 dBmMay 21 2018 030610267 CST SFF84725THRESHOLDVIOLATION Gi02 Rx power high warning Operating value 27 dBm Threshold value 30 dBmMay 21 2018 031610485 CST SFF84725THRESHOLDVIOLATION Gi02 Rx power high warning Operating value 27 dBm Threshold value 30 dBmMay 21 2018 032610711 CST SFF84725THRESHOLDVIOLATION Gi02 Rx power high warning Operating value 27 dBm Threshold value 30 dBmMay 21 2018 033610920 CST SFF84725THRESHOLDVIOLATION Gi02 Rx power high warning Operating value 26 dBm Threshold value 30 dBmMay 21 2018 034611121 CST SFF84725THRESHOLDVIOLATION Gi02 Rx power high warning Operating value 26 dBm Threshold value 30 dBmMay 21 2018 035611339 CST SFF84725THRESHOLDVIOLATION Gi02 Rx power high warning Operating value 27 dBm Threshold value 30 dBmMay 21 2018 040611540 CST SFF84725THRESHOLDVIOLATION Gi02 Rx power high warning Operating value 27 dBm Threshold value 30 dBmMay 21 2018 041611757 CST SFF84725THRESHOLDVIOLATION Gi02 Rx power high warning Operating value 27 dBm Threshold value 30 dBmMay 21 2018 042611975 CST SFF84725THRESHOLDVIOLATION Gi02 Rx power high warning Operating value 27 dBm Threshold value 30 dBmMay 21 2018 043612193 CST SFF84725THRESHOLDVIOLATION Gi02 Rx power high warning Operating value 27 dBm Threshold value 30 dBmMay 21 2018 044612402 CST SFF84725THRESHOLDVIOLATION Gi02 Rx power high warning Operating value 27 dBm Threshold value 30 dBmMay 21 2018 045612628 CST SFF84725THRESHOLDVIOLATION Gi02 Rx power high warning Operating value 27 dBm Threshold value 30 dBmMay 21 2018 050612846 CST SFF84725THRESHOLDVIOLATION Gi02 Rx power high warning Operating value 27 dBm Threshold value 30 dBmMay 21 2018 051613080 CST SFF84725THRESHOLDVIOLATION Gi02 Rx power high warning Operating value 27 dBm Threshold value 30 dBmMay 21 2018 052613298 CST SFF84725THRESHOLDVIOLATION Gi02 Rx power high warning Operating value 28 dBm Threshold value 30 dBm show int transceiver detailmA milliamperes dBm decibels milliwatts NA or NA not applicable  high alarm   high warning   low warning   low alarmA2D readouts if they differ are reported in parenthesesThe threshold values are calibrated High Alarm High Warn Low Warn Low Alarm Temperature Threshold Threshold Threshold ThresholdPort Celsius Celsius Celsius Celsius Celsius     Gi01 519 890 850 400 440Gi02 527 890 850 400 440 High Alarm High Warn Low Warn Low Alarm Voltage Threshold Threshold Threshold ThresholdPort Volts Volts Volts Volts Volts     Gi01 330 360 350 310 300Gi02 329 360 350 310 300 Optical High Alarm High Warn Low Warn Low Alarm Transmit Power Threshold Threshold Threshold ThresholdPort dBm dBm dBm dBm dBm     Gi01 59 10 30 95 135Gi02 57 10 30 95 135 Optical High Alarm High Warn Low Warn Low Alarm Receive Power Threshold Threshold Threshold ThresholdPort dBm dBm dBm dBm dBm     Gi01 68 10 30 190 230Gi02 27  10 30 190 230,
