Heading,Content,Replies
what would cause iptcpudp  checksum error,our Linux Server kernel log report lot of udp bad checksum now i am not sure if that means the udp packet was drop by the kerneland i am wondering what knid of think would cause the checksum error in data in transfering stage ,would RouterSwitch change iptcpudp checksum values  RVCE It shouldnt for higher level of the stack ie L3 andor L4 RVCE Sun spots Generally bad checksums or CRCs will cause whatever the base data being checked to be considered corrupt and ignoredActually there are many things that can corrupt a data transmission If fact at best transmission media generally has an expected error rate often its a very smalllow valueConversely if the error rate is higher especially if significantly higher than what the specs call for if should be investigated for remediationMore information might be found here httpsenwikipediaorgwikiBiterrorrate RVCE can RouterSwtich cause the data corrupt  RVCE Yes and noThe innards of the RouterSwitch usually notThe interfaces of the RouterSwitch it may RVCE or  how can we test the bit error rate  RVCE With a device design for such testingHowever within Cisco devices interface stats will often reveal media corruption errors
Spanning tree MST,Is Revision number and Region name is mandatory to configure without this whether MST will work or not as per my understanding both needs to identify which its belongs to MST configuration thanks vinoth Kumar C Solved Go to Solution,HiRegion is configured to prevent a misconfiguration imagine 2 o more switches configured with the same instance but the instances have different vlan groups so the region will be used to identify which vlan groups belong to the each instance Note it should never happen it should be a misconfiguration The switches on the same region must run the same MST ParametersWithin a region all the switches must run instance of MST that includes  MST Configuration name Revision number 0 to 65535 Instance to vlan mapping The revision number is used like a tracker of the changes made into the region each new change should incresase the value by one It should match on every switch on the same region Region and revision number must be configured always to prevent any STP problem on the network Hope it is useful RVCE HiRegion is configured to prevent a misconfiguration imagine 2 o more switches configured with the same instance but the instances have different vlan groups so the region will be used to identify which vlan groups belong to the each instance Note it should never happen it should be a misconfiguration The switches on the same region must run the same MST ParametersWithin a region all the switches must run instance of MST that includes  MST Configuration name Revision number 0 to 65535 Instance to vlan mapping The revision number is used like a tracker of the changes made into the region each new change should incresase the value by one It should match on every switch on the same region Region and revision number must be configured always to prevent any STP problem on the network Hope it is useful RVCE Hi VinothIn addition to Julios response you have asked whether it is required to configure a revision and a region name when creating a MST configurationBoth the revision number and the region name are mandatory parts of MST region configuration However if you do not specify them explicitly the switch will automatically use a revision number of 0 and an empty string as the region name So technically you do not need to configure them but they will always be present and if you dont change them they will be set to 0 for revision and to an empty string for the region name by defaultBest regardsPeter
OSPF Help,We have just installed the MPLS circuit and want to start routing some traffic over it weve got backups working over it using PBR but we want to put some more critical traffic over it so would like to be able to route over MPLS as default but if the MPLS fails it routes the traffic over the WAN My first thought was OSPF but Ive had not exposure to OSPF and wondered if anyone could give me some pointers on how I would go about configuring OSPF for this scenarioRouting to the WAN is all static using the Gateway of Last Resort the WAN itself is OSPF and RIP v2 but its all managed for us and we cant make any changes to the way the routing works Dont Ask its very painful at times  See below a basic diagram of the network Any help would be much appreciated Thanks Jon,HiYou can use OSPF Shamlink to have a backdoor as backup please check these linkshttpnetworkinfernonetcciestudyospfshamlinkhttpswwwciscocomcenustddocsiosxmliosiprouteospfconfiguration15syiro15sybookiroshamlinkhtmlHope it is useful RVCE The WAN is point to point circuits in a ring and not an MPLS cloud So not sure the SHAM link would work in our scenario ThanksJon RVCE You could establish a GRE tunnel across the MPLS and then establish OSPF peers across that You may have to tweak mtu and mss and depending on the platform and amount of traffic there may be a performance hit Things to consider but doableHope this helps
ASR 920  BFD echo  far end not matching QoS policymap,Topology is simple  two ASR 920 routers directly connected with a 1 Gbps copper cable Interfaces configured as a regular 30 routed interface on each side IGP  ISIS We use 10ms x 3 detections for BFD with echo we have to use a bfdtemplate to accomplish aggressive timers 50ms We are on latest code 3164The problem is as follows  we see no packets match our QoS policy map applied egress on either side We know that the echo packet is originated by router A and put on the wire as PAK priority We see the packets leave router A and hit the far end router B marked CS6 We see the packets turning around and leaving router B heading back to router A still marked CS6 We do not see any packets matching the egress QoS policymap in any classes CS6 classdefault etcI know the ASR 9k requires far end egress QoS to protect BFD under congestion But this ASR 920 seems to behave differentlyI am having problems finding supporting documentation TAC is having problems getting this to work for us SR 681187159,I removed all QoS policymaps and oversubscribed the backbone BFD interfaces BFD remained stable in a 10 ms by 3 echo configuration Im not sure if Im just lucky or if the echo packet on the remote router is somehow being given PAK priority and its just not documented RVCE I was searching for the same answer and it does appear that BFD automatically recieves priority From the following articlehttpswwwciscocomcenustddocsrouterscrssoftwarecrsr42qosconfigurationguidebqoscg421crsbqoscg421crschapter0101html If no QoS policy is attached to the interface on which BFD echo packets are received and switched back then the BFD echo packets are marked as vital packets when received and are sent to the high priority queue in the ingressq ASIC reserved for transit control traffic If ingress QOS policy is present on the interface on which BFD echo packets are received and switched back then the BFD echo packets are marked as vital packets when received and all QOS actions of the matching class except for taildrop and WRED are performed on the packets The packets are then sent to the high priority queue in the ingressq ASIC reserved for transit control traffic overriding the queue selected by the ingress QOS policy In the egress direction the BFD echo packets are treated like other vital packets locally originated control packets and are sent to the high priority queue of the interface in the egressq ASIC
IPSec Site to Site VPN no ISAKMP,Hi I have a cisco 887 and a cisco 881 and I am trying to set up an IPSec tunnel between the two It doesnt look like I am getting any ISAKMP negotiations between the two The policies are the same on both sides and the crypto map ACL are mirroring eachother but still no negotiation Can anybody assist,I think at minimum you are going to need some ACL entries on each end allowing the following  permit esp host xxxx host yyyypermit udp host xxxx host yyyy eq isakmppermit udp host xxxx host yyyy eq non500isakmp Replacing with your own IP addresses The ACL will be inbound on the Outside Interface RVCE Crypto maps  do your devices support VTI tunnels
Need help setting up QoS on a 3850 at a remote site,I have a 3850 which serves as the core switch at a remote site The gig interface leading to the upstream provider set to 100mbps which is the upstream bandwidth is showing several bursts of discards during the day as well as an equal number of transmit errors which seem to match a known bug Weve had complaints of slow file transfers to our central office Port AlignErr FCSErr XmitErr RcvErr UnderSize OutDiscardsGi1023 0 0 7412585 0 0 7412585 This switch was not set up with a servicepolicy for QoS and Im assuming this is something Im going to need to do Im a little rusty at QoS and Id like some help in getting it set up We have QoS set up atmany other sites non3850s for comparison,I havent worked with any 36503850 and although I believe their QoS is improved over the prior 36503750 series their default buffering may still require tuning to minimize drops See if your 3850s QoS chapter has any mention on adjusting QoS bufferingOn the prior 36503750 when you enabled QoS some buffer space was tied to each interfaces QoS queues even if all traffic was only using one queue or few interfaces I found reducing the interface queue reservations and allowing interfaces to grab additional buffers often dramatically reduced drops due to insufficient buffers Again this may not pertain to the 3850 but you might check
Netflow Egress not working on Physical Interface,HiI am facing an issue regarding netflowI have configured netflow on a router which has several tunnel interfaces and few physical interfaces I am currently having a problem on one of physical interface for Egress direction that is not sending any flow which is a source for few tunnel interfacesCan I have some suggestions on this condition RegardsGodwin S,
Difference between NIM and SPA in Cisco ASR series routers,I was wondering where I could find a list of what can be supported in a NIM which cant be supported in a SPA as it relates to expansion slots in Cisco ASR series routers The ASR1001X has 1 NIM slots and a SPA slot The ASR 1002HX has 2 NIM slots I found this link to be useful for seeing what SPAs are available but I cant seem to get a consistent answer as to what NIMs are available for the ASR Now backplane bandwidth aside I would think that you could plug any NIM into any NIM slot Am I wrong Solved Go to Solution,Im literally doing the same thing right now From ASR Ordering GuideChassis Part NumberMaximum SPA SlotsMaximum NIM SlotsMaximum EPA SlotsMaximum SIP40 slotsMaximum MIP100 slotsBuiltin GESFPBuiltin 10GESFPASR1001X11NANANA62ASR1002X3NANANANA60ASR1001HXNANANANANAup to 12Up to 8ASR1002HXNA11NANA88ASR10048NANA2NANANAASR100612NANA3NANANAASR1006X8NA422NANAASR1009X12NA633NANAASR101324NA1266NANA Basically as near as I can tell on the ASRs the NIM slot is only for SSD andor T1E1 line cards Nothing else is listed on any ASR documents that Ive found If you look at the ASR1001X installation guide httpswwwciscocomcenustddocsroutersasr1000installguide1001xasr1higbooksuportdhwcomponenthtmlcon1307887 it lists NIM supported modules There seems to be no equivalent installation guide document for ASR1002X though You should look at supported SPAs on the 1001X installation guide The 1001HX1002HX installation guide httpswwwciscocomcenustddocsroutersasr1000installguide1001HX1002HXbASR1001HX1002HXHIGbASR1001HX1002HXHIGchapter010html basically states that the NIM slot is not supported in this software release so just ignore it The installation guide does list supported EPAs though which is probably what you need to use as your reference point here ie not NIMs not SPAs Another way you can validate supported modulesetc is with the Cisco Commerce Workspace tool I think its a public tool but it may only be a cisco partner tool Basically you add a router and then can add supported modulesetc I cant add NIMs to 10021001HX1002HX but I can add SSDT1E1 cards on the 1001X maybe thats what you needed to hear Look at the installation guides I linked in the above for the most reliable guidance is my advice the documentation is pretty lacklustre though The final typical place Id normally look is the ordering guide httpswwwciscocomcenusproductscollateralroutersasr1000seriesaggregationservicesroutersguidec07731639html but it appears to be pretty useless so far as modules go For ISRs they have a supported hardware and modules document but the ASR one is pretty useless Hope this helps sorry RVCE    I would think that you could plug any NIM into any NIM slot Am I wrongCannot say for sure in this instance but in general modules even if hardware compatible often require a certain IOS version andor feature set to operate RVCE Im literally doing the same thing right now From ASR Ordering GuideChassis Part NumberMaximum SPA SlotsMaximum NIM SlotsMaximum EPA SlotsMaximum SIP40 slotsMaximum MIP100 slotsBuiltin GESFPBuiltin 10GESFPASR1001X11NANANA62ASR1002X3NANANANA60ASR1001HXNANANANANAup to 12Up to 8ASR1002HXNA11NANA88ASR10048NANA2NANANAASR100612NANA3NANANAASR1006X8NA422NANAASR1009X12NA633NANAASR101324NA1266NANA Basically as near as I can tell on the ASRs the NIM slot is only for SSD andor T1E1 line cards Nothing else is listed on any ASR documents that Ive found If you look at the ASR1001X installation guide httpswwwciscocomcenustddocsroutersasr1000installguide1001xasr1higbooksuportdhwcomponenthtmlcon1307887 it lists NIM supported modules There seems to be no equivalent installation guide document for ASR1002X though You should look at supported SPAs on the 1001X installation guide The 1001HX1002HX installation guide httpswwwciscocomcenustddocsroutersasr1000installguide1001HX1002HXbASR1001HX1002HXHIGbASR1001HX1002HXHIGchapter010html basically states that the NIM slot is not supported in this software release so just ignore it The installation guide does list supported EPAs though which is probably what you need to use as your reference point here ie not NIMs not SPAs Another way you can validate supported modulesetc is with the Cisco Commerce Workspace tool I think its a public tool but it may only be a cisco partner tool Basically you add a router and then can add supported modulesetc I cant add NIMs to 10021001HX1002HX but I can add SSDT1E1 cards on the 1001X maybe thats what you needed to hear Look at the installation guides I linked in the above for the most reliable guidance is my advice the documentation is pretty lacklustre though The final typical place Id normally look is the ordering guide httpswwwciscocomcenusproductscollateralroutersasr1000seriesaggregationservicesroutersguidec07731639html but it appears to be pretty useless so far as modules go For ISRs they have a supported hardware and modules document but the ASR one is pretty useless Hope this helps sorry RVCE Thanks JBekk Thats an awesome response No need to say sorry why would I flame you Thats what I thought by examining the documents but gee theres alot of inconsistency from document to document around whats available and what you can install Would be interesting to find out if you could use other NIMs like serial NIMs in a NIM slot on the ASR1000 series but yeah it only mentions support for ISDN and SSD
GLBP configuration,Dear Team As i configured GLBP on cisco 2960 it is possible to configure on this routerAm not able to ping vlan ip from one router to another how can i perform all these things All configuration is attched in word file Solved Go to Solution,HiI suggest change to 2 the RIP version router ripversion 2 Im not really sure if the Cisco 2960 supports GLBP but you can try using like you do with HSRP Exampleinterface vlan 10glbp 10 RVCE HiI suggest change to 2 the RIP version router ripversion 2 Im not really sure if the Cisco 2960 supports GLBP but you can try using like you do with HSRP Exampleinterface vlan 10glbp 10 RVCE Hi julio Not working glbp Solved But why i am not able to ping vlan ip from both routerrouting issue due to that  RVCE HiThank you was the RIP version to 2 also you can execute show ip interface brief in order to see if the SVI is up up or up down RVCE hi julio i changed the version also but not pinging show ip interface briefInterface IPAddress OK Method Status Protocol GigabitEthernet00 unassigned YES unset up up GigabitEthernet01 unassigned YES unset administratively down down Serial030 1010102 YES manual up up Serial031 unassigned YES unset administratively down down Vlan1 unassigned YES unset administratively down down Vlan100 19216812 YES manual up down regardsBrijendra RVCE Ok the SVI 100 interface vlan 100 is UP Down it is generated becase the VLAN 100 is not associated to any port Usually on routers it is used when you have EtherSwitch HWIC modules so you can assign a VLAN on the port as you do on the switches I think your Interface Giga are not able to be associated to a VLAN But I think Packet tracer has etherswitch modules to include on the routers RVCE hi julio thanks after inserting the module am able to ping the router 2 vlan RVCE perfect 
How to check actual BGP route size bytes,hii just recently enabled IPv6 AF on our internet edge router and now stacked with IPv4my question is how to check the TOTAL BGP routeprefix size in bytes consumed on the router by both IPv4 and IPv6 AFalso anyone have an idea or could share the current FULL IPv6 BGP prefixes and size in bytesmy google searched theres a few commands to use but not sure which one to refer to so i could monitor the routers memoryperformancehttpswwwciscocomcenussupportdocsipbordergatewayprotocolbgp1251241htmlbelow are some snippets from my router sh ip bgp ipv4 unicast summary BGP router identifier 203xxx local AS number 23yyyBGP table version is 1065169 main routing table version 1065169652552 network entries using 96577696 bytes of memory1235697 path entries using 79084608 bytes of memory192197101660 BGP pathbestpath attribute entries using 26138792 bytes of memory170513 BGP ASPATH entries using 6695198 bytes of memory720 BGP community entries using 113756 bytes of memory4 BGP extended community entries using 96 bytes of memory0 BGP routemap cache entries using 0 bytes of memory0 BGP filterlist cache entries using 0 bytes of memoryBGP using 208610146 total bytes of memory1 received paths for inbound soft reconfigurationBGP activity 65257826 prefixes 129991164214 paths scan interval 60 secsSNIP sh ip bgp ipv6 unicast summaryBGP router identifier 203xxx local AS number 23yyyBGP table version is 2 main routing table version 21 network entries using 172 bytes of memory1 path entries using 88 bytes of memory180441 BGP pathbestpath attribute entries using 2453984 bytes of memory182276 BGP ASPATH entries using 7127354 bytes of memory786 BGP community entries using 119086 bytes of memory6 BGP extended community entries using 144 bytes of memory0 BGP routemap cache entries using 0 bytes of memory0 BGP filterlist cache entries using 0 bytes of memoryBGP using 9700828 total bytes of memoryBGP activity 65258438 prefixes 130000464293 paths scan interval 60 secsSNIP sh ip route summaryIP routing table name is default 0x0IP routing table maximumpaths is 32Route Source Networks Subnets Replicates Overhead Memory bytesconnected 0 6 0 360 1080static 1 11 0 720 2160bgp 23xxx 187099 465392 0 39149460 117448380 External 396961 Internal 255530 Local 0internal 6848 26470312Total 193948 465409 0 39150540 143921932 show processes memory  include BGP 3 0 25097672 0 249768 0 0 BGP Task 15 0 0 0 10208 0 0 BGP Scheduler 112 0 470807180 32623932 467624412 6 6 BGP Router 257 0 32794136 24923712 141388 87898 87898 BGP IO 299 0 0 3049372 10216 0 0 BGP Scanner 338 0 0 0 10160 0 0 BGP Consistency 339 0 0 0 10160 0 0 BGP Event 350 0 0 0 7160 0 0 BGP VA,
